Day Date,Week End Date,Center Name,Driver Work Center Hrs Qty,Deliv Stops Qty
4/11/2019,4/13/2019,Mountain 1,214.08,1965
4/11/2019,4/13/2019,Mountain 2,131.75,1623
4/11/2019,4/13/2019,Mountain 3,240.79,3336
4/12/2019,4/13/2019,Mountain 1,244.63,2313
4/12/2019,4/13/2019,Mountain 2,132.17,1769
4/12/2019,4/13/2019,Mountain 3,295.67,4210
4/13/2019,4/13/2019,Mountain 1,36.94,100
4/13/2019,4/13/2019,Mountain 2,0.00,0
4/13/2019,4/13/2019,Mountain 3,19.82,96
4/14/2019,4/20/2019,Mountain 1,0.00,0
4/14/2019,4/20/2019,Mountain 2,0.00,0
4/14/2019,4/20/2019,Mountain 3,0.00,0
4/15/2019,4/20/2019,Mountain 1,232.41,2182
4/15/2019,4/20/2019,Mountain 2,153.14,1779
4/15/2019,4/20/2019,Mountain 3,247.33,3498
4/16/2019,4/20/2019,Mountain 1,223.64,2128
4/16/2019,4/20/2019,Mountain 2,127.44,1648
4/16/2019,4/20/2019,Mountain 3,233.47,3287
4/17/2019,4/20/2019,Mountain 1,225.29,2193
4/17/2019,4/20/2019,Mountain 2,137.70,1880
4/17/2019,4/20/2019,Mountain 3,244.40,3616
4/18/2019,4/20/2019,Mountain 1,234.91,2295
4/18/2019,4/20/2019,Mountain 2,144.76,1867
4/18/2019,4/20/2019,Mountain 3,247.10,3607
4/19/2019,4/20/2019,Mountain 1,192.87,1763
4/19/2019,4/20/2019,Mountain 2,115.84,1483
4/19/2019,4/20/2019,Mountain 3,212.26,3067
4/20/2019,4/20/2019,Mountain 1,25.42,66
4/20/2019,4/20/2019,Mountain 2,0.00,0
4/20/2019,4/20/2019,Mountain 3,17.15,63
4/21/2019,4/27/2019,Mountain 1,0.00,0
4/21/2019,4/27/2019,Mountain 2,0.00,0
4/21/2019,4/27/2019,Mountain 3,0.00,0
4/22/2019,4/27/2019,Mountain 1,233.62,2272
4/22/2019,4/27/2019,Mountain 2,138.12,1776
4/22/2019,4/27/2019,Mountain 3,242.24,3455
4/23/2019,4/27/2019,Mountain 1,212.97,2041
4/23/2019,4/27/2019,Mountain 2,119.81,1589
4/23/2019,4/27/2019,Mountain 3,215.52,3012
4/24/2019,4/27/2019,Mountain 1,221.02,2131
4/24/2019,4/27/2019,Mountain 2,128.19,1661
4/24/2019,4/27/2019,Mountain 3,228.87,3252
4/25/2019,4/27/2019,Mountain 1,218.90,2116
4/25/2019,4/27/2019,Mountain 2,134.65,1735
4/25/2019,4/27/2019,Mountain 3,232.10,3303
4/26/2019,4/27/2019,Mountain 1,208.00,2056
4/26/2019,4/27/2019,Mountain 2,124.26,1517
4/26/2019,4/27/2019,Mountain 3,218.73,3129
4/27/2019,4/27/2019,Mountain 1,16.88,58
4/27/2019,4/27/2019,Mountain 2,0.00,0
4/27/2019,4/27/2019,Mountain 3,13.50,47
4/28/2019,5/4/2019,Mountain 1,0.00,0
4/28/2019,5/4/2019,Mountain 2,0.00,0
4/28/2019,5/4/2019,Mountain 3,0.00,0
4/29/2019,5/4/2019,Mountain 1,221.41,2083
4/29/2019,5/4/2019,Mountain 2,123.58,1530
4/29/2019,5/4/2019,Mountain 3,228.35,3113
4/30/2019,5/4/2019,Mountain 1,221.56,2105
4/30/2019,5/4/2019,Mountain 2,119.93,1576
4/30/2019,5/4/2019,Mountain 3,227.04,3184
5/1/2019,5/4/2019,Mountain 1,232.06,2213
5/1/2019,5/4/2019,Mountain 2,129.39,1663
5/1/2019,5/4/2019,Mountain 3,238.28,3295
5/2/2019,5/4/2019,Mountain 1,236.78,2280
5/2/2019,5/4/2019,Mountain 2,137.93,1780
5/2/2019,5/4/2019,Mountain 3,236.21,3481
5/3/2019,5/4/2019,Mountain 1,223.38,2106
5/3/2019,5/4/2019,Mountain 2,137.96,1725
5/3/2019,5/4/2019,Mountain 3,238.69,3499
5/4/2019,5/4/2019,Mountain 1,20.96,53
5/4/2019,5/4/2019,Mountain 2,0.00,0
5/4/2019,5/4/2019,Mountain 3,15.43,53
5/5/2019,5/11/2019,Mountain 1,0.00,0
5/5/2019,5/11/2019,Mountain 2,0.00,0
5/5/2019,5/11/2019,Mountain 3,0.00,0
5/6/2019,5/11/2019,Mountain 1,233.31,2173
5/6/2019,5/11/2019,Mountain 2,140.74,1681
5/6/2019,5/11/2019,Mountain 3,237.93,3463
5/7/2019,5/11/2019,Mountain 1,228.11,2061
